"species","datasourceGUID","seedlotGUID","scarified","cs","ws","light","alternating","temperature","nseeds","ngerminated"
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",14,19,15
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",18,20,18
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",14,14,13
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",26,23,23
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",22,23,22
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",10,11,3
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",22,21,20
"Achillea atrata","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","A017BB81-E183-C502-9BEE-741B1DD134C9","0","1","0","1","1",14,16,13
"Achillea clavennae","CE97EB3E-828B-3D89-DA70-76D3C87815BC","59BFAAF4-299D-9142-2322-CA85FAF3CD42","0","0","0","1","0",25,20,13
"Achillea clavennae","CE97EB3E-828B-3D89-DA70-76D3C87815BC","59BFAAF4-299D-9142-2322-CA85FAF3CD42","0","0","0","1","1",25,28,28
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",6,18,4
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",14,21,21
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",22,20,20
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",14,17,16
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",26,18,18
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",6,23,7
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",18,17,17
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",6,21,6
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",26,16,15
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",22,21,21
"Achillea clavennae","C1A0626B-D713-F8FB-F39E-E2EF64BFC415","EFC7DDF1-9FF6-0193-EC74-A659D4A4D449","0","1","0","1","1",6,16,5
