"post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
-1.02410952352978,-6.40694139289553,4.15282630281217,884.11674292934,0.7
0.275123366822229,0.237631243246142,0.322140066011343,800,0.00125
0.392669414107792,0.337215601255593,0.447408696238199,800.000000000001,0.00125
0.182206377789759,0.130392364670115,0.223593849179451,800,0.00125
0.331035885279938,0.269434647313119,0.385279555070156,800,0.00125
0.590989370166719,0.512751999718603,0.664802336803405,800.000000000001,0.00125
0.270729038297022,0.13687567281886,0.396832916994754,800,0.00125
0.0602504239771977,-0.0815705431014067,0.174991196134215,718.959322307562,0.3625
-0.252664130884457,-0.29299756601722,-0.210305873195466,799.999999999999,0.00125
-0.0841212126252656,-0.12706533036544,-0.0436079350765795,800.000000000001,0.00125
0.0241346011940585,-0.0294498296425445,0.0790380647272286,711.314841107574,0.3575
-0.0439035213712991,-0.0938828508369625,0.00883527922269423,1702.35964269721,0.0825
-0.0889794234404332,-0.141179658530746,-0.038690760753525,800,0.005
-0.190791996099894,-0.239162082587427,-0.141171023078641,800,0.00125
-0.0302703226404121,-0.0878228021465475,0.0322479015012505,1002.25501112884,0.32
-0.146626928551388,-0.195917752891546,-0.0919147547792818,800.000000000001,0.00125
-0.0351387606948418,-0.108930811962637,0.0281312828010414,708.339943678089,0.3075
0.1052806492641,0.0475130297531905,0.176490945508704,799.999999999999,0.00249999999999995
