"post.mean","l-95% CI","u-95% CI","eff.samp","pMCMC"
-1.03023644557634,-5.5451060354244,1.54834250008571,31.4936410522233,0.8
0.296263234302751,0.272343755568727,0.323781437444268,118.557777448392,0.1
0.412570987265644,0.374974777776515,0.463484023945057,10,0.1
0.184786432723922,0.158554664536496,0.210066447471036,10,0.1
0.332097955819972,0.296211909531849,0.385610980447382,14.5802627596806,0.1
0.567562710837956,0.539700511180854,0.603007840763894,10,0.1
0.249178655757578,0.0575446886650752,0.49168712667597,10,0.1
0.0348170767034389,-0.0924750606282032,0.177645242481958,23.4296004217282,0.6
-0.105450719015607,-0.157673220543074,-0.0576594082940574,10,0.1
-0.0641781080685178,-0.10181005182676,-0.0351233744295314,10,0.1
0.0212709011599145,-0.0322900908795418,0.0788353122479748,10,0.4
-0.0618469190390897,-0.113327799728722,-0.00161978627147619,10,0.1
-0.0709363947261053,-0.13231709660613,-0.0152289057004964,10,0.1
-0.0894236761706452,-0.169310012075584,-0.0367294961943117,10,0.1
-0.119525882324524,-0.204304470782517,-0.0423006522687501,47.2997747221027,0.1
-0.0250720794130643,-0.124060277386889,0.0729370056396874,10,0.6
-0.133775318395783,-0.194698033983514,-0.0475590771093266,10,0.1
0.247718421924765,0.182457648683339,0.346268371995393,3.06907857108525,0.1
