GERMINATION CUE,EXPERIMENTAL TREATMENT,ECOLOGICAL FUNCTION,PREDICTION
Scarification,Abrasion of the seed coat was applied to allow water imbibition; binary (yes/no),"Delay germination until seed coat is abraded by soil movement, fire, freeze-thaw, etc.",Stronger signal for high-disturbance species (e.g. germinate after fire)
Cold stratification,Seeds underwent a period (> 4 weeks) of cold-wet stratification (< 6ºC); binary (yes/no),Delay germination until a cold season is passed,Stronger signal for cold-stress species (e.g. avoid autumn-winter germination)
Average temperature,"Weighted average of the diurnal temperature cycle, weighted by the duration of each phase; in ºC",Delay germination until the proper time of the annual temperature cycle,"Stronger signal for cold-stress/low-disturbance species (e.g. summer germination in alpine meadows, mires)"
Alternating temperature,"Different temperatures (>5ºC) were applied during the day and night, in diurnal cycles; binary (yes/no)","Delay germination unless close to soil surface, under open vegetation and/or a low water table",Stronger signal for low-stress species (e.g. germinate in vegetation gaps)
Light,Seeds were exposed to light during some part of the diurnal cycle; binary (yes/no),Delay germination unless close to soil surface and/or under open vegetation,Stronger signal for low-stress species (e.g. germinate in vegetation gaps)
